player,goals,pen_goals,season,country,goal_rank,team,age
Walter Bou,7.0,1,2024.0,ARG,10.0,Lanús,31.0
Facundo Colidio,7.0,1,2024.0,ARG,11.0,River Plate,26.0
Miguel Merentiel,7.0,1,2024.0,ARG,12.0,Boca Juniors,28.0
Bruno Barticciotto,7.0,0,2024.0,ARG,13.0,Talleres Córdoba,23.0
Guido Carrillo,7.0,0,2024.0,ARG,14.0,Estudiantes,33.0
Adrián Martínez,7.0,0,2024.0,ARG,15.0,Racing Club,
Gabriel Ávalos,12.0,2,2025.0,ARG,1.0,Independiente,
Miguel Merentiel,11.0,1,2025.0,ARG,2.0,Boca Juniors,29.0
Rodrigo Castillo,11.0,0,2025.0,ARG,3.0,Gimnasia La Plata,30.0
Jonathan Herrera,10.0,2,2025.0,ARG,4.0,Deportivo Riestra,36.0
Facundo Bruera,10.0,0,2025.0,ARG,5.0,Barracas Central,27.0
Ignacio Russo,10.0,0,2025.0,ARG,6.0,Tigre,24.0
Adrián Martínez,9.0,1,2025.0,ARG,7.0,Racing Club,
Milton Giménez,9.0,0,2025.0,ARG,8.0,Boca Juniors,31.0
Braian Romero,8.0,1,2025.0,ARG,9.0,Vélez Sarsfield,34.0
Juan Miritello,8.0,0,2025.0,ARG,10.0,Defensa Justicia,26.0
Nicolás Fernández,8.0,0,2025.0,ARG,11.0,Belgrano Córdoba,29.0
Ronaldo Martínez,8.0,0,2025.0,ARG,12.0,Platense,
Tomás Molina,8.0,0,2025.0,ARG,13.0,Argentinos Juniors,30.0
Andrés Vombergar,7.0,4,2025.0,ARG,14.0,San Lorenzo,31.0
Ángel Di María,7.0,4,2025.0,ARG,15.0,Rosario Central,37.0
